Date,Actual Sales,Predicted Sales,Category
2014-01-12,2712.4280000000003,,Furniture
2014-01-19,1250.473,,Furniture
2014-01-26,1655.958,,Furniture
2014-02-02,623.6659999999999,,Furniture
2014-02-09,14.56,,Furniture
2014-02-16,1779.618,,Furniture
2014-02-23,45.480000000000004,,Furniture
2014-03-02,1893.995,,Furniture
2014-03-09,1895.786,,Furniture
2014-03-16,1193.936,,Furniture
2014-03-23,5318.368,,Furniture
2014-03-30,3146.3830000000003,,Furniture
2014-04-06,2242.022,,Furniture
2014-04-13,1805.0810000000001,,Furniture
2014-04-20,1786.568,,Furniture
2014-04-27,2605.65,,Furniture
2014-05-04,670.6439999999999,,Furniture
2014-05-11,3080.26,,Furniture
2014-05-18,1707.294,,Furniture
2014-05-25,287.28400000000005,,Furniture
2014-06-01,3822.3689999999997,,Furniture
2014-06-08,3091.835,,Furniture
2014-06-15,4344.546,,Furniture
2014-06-22,1979.1276,,Furniture
2014-06-29,1766.5569999999998,,Furniture
2014-07-06,711.216,,Furniture
2014-07-13,3591.509,,Furniture
2014-07-20,1402.8120000000001,,Furniture
2014-07-27,3617.786,,Furniture
2014-08-03,1760.6059999999998,,Furniture
2014-08-10,2621.196,,Furniture
2014-08-17,1146.018,,Furniture
2014-08-24,1867.1760000000002,,Furniture
2014-08-31,1423.0785,,Furniture
2014-09-07,1859.167,,Furniture
2014-09-14,11399.296,,Furniture
2014-09-21,4195.038,,Furniture
2014-09-28,3194.3518000000004,,Furniture
2014-10-05,4313.877,,Furniture
2014-10-12,805.102,,Furniture
2014-10-19,4528.638,,Furniture
2014-10-26,1617.228,,Furniture
2014-11-02,4397.754,,Furniture
2014-11-09,3506.176,,Furniture
2014-11-16,3873.2737,,Furniture
2014-11-23,9634.792,,Furniture
2014-11-30,4360.907,,Furniture
2014-12-07,6321.598,,Furniture
2014-12-14,6262.4145,,Furniture
2014-12-21,11779.812,,Furniture
2014-12-28,3030.678,,Furniture
2015-01-04,5248.5316,,Furniture
2015-01-11,1079.688,,Furniture
2015-01-18,797.1940000000001,,Furniture
2015-01-25,301.742,,Furniture
2015-02-01,7564.25,,Furniture
2015-02-08,1808.942,,Furniture
2015-02-15,244.70399999999998,,Furniture
2015-02-22,35.544,,Furniture
2015-03-01,2457.9344,,Furniture
2015-03-08,3490.999,,Furniture
2015-03-15,1422.144,,Furniture
2015-03-22,690.5156000000001,,Furniture
2015-03-29,5094.25,,Furniture
2015-04-05,2296.918,,Furniture
2015-04-12,491.79999999999995,,Furniture
2015-04-19,3812.152,,Furniture
2015-04-26,2718.1275,,Furniture
2015-05-03,3119.373,,Furniture
2015-05-10,632.61,,Furniture
2015-05-17,1666.7235,,Furniture
2015-05-24,841.117,,Furniture
2015-05-31,4660.952,,Furniture
2015-06-07,1557.918,,Furniture
2015-06-14,1824.688,,Furniture
2015-06-21,1651.868,,Furniture
2015-06-28,2541.719,,Furniture
2015-07-05,1620.552,,Furniture
2015-07-12,2071.887,,Furniture
2015-07-19,5135.326,,Furniture
2015-07-26,3732.6989999999996,,Furniture
2015-08-02,2645.398,,Furniture
2015-08-09,2497.5592,,Furniture
2015-08-16,737.764,,Furniture
2015-08-23,1754.848,,Furniture
2015-08-30,1702.134,,Furniture
2015-09-06,3433.866,,Furniture
2015-09-13,4388.054,,Furniture
2015-09-20,13213.144,,Furniture
2015-09-27,6790.79,,Furniture
2015-10-04,625.072,,Furniture
2015-10-11,2285.8255,,Furniture
2015-10-18,4635.1539999999995,,Furniture
2015-10-25,3658.9049999999997,,Furniture
2015-11-01,1916.055,,Furniture
2015-11-08,12301.111,,Furniture
2015-11-15,4735.0852,,Furniture
2015-11-22,7512.5888,,Furniture
2015-11-29,4122.4595,,Furniture
2015-12-06,10053.807,,Furniture
2015-12-13,2957.9900000000002,,Furniture
2015-12-20,3279.604,,Furniture
2015-12-27,7894.8582,,Furniture
2016-01-03,1781.55,,Furniture
2016-01-10,1708.8940000000002,,Furniture
2016-01-17,875.155,,Furniture
2016-01-24,1802.354,,Furniture
2016-01-31,1469.5500000000002,,Furniture
2016-02-07,1922.014,,Furniture
2016-02-14,802.491,,Furniture
2016-02-21,1184.854,,Furniture
2016-02-28,16.192,,Furniture
2016-03-06,2378.218,,Furniture
2016-03-13,2969.683,,Furniture
2016-03-20,4409.784,,Furniture
2016-03-27,1157.32,,Furniture
2016-04-03,4736.639,,Furniture
2016-04-10,2322.259,,Furniture
2016-04-17,3980.667,,Furniture
2016-04-24,3417.558,,Furniture
2016-05-01,1011.674,,Furniture
2016-05-08,3720.208,,Furniture
2016-05-15,119.596,,Furniture
2016-05-22,2419.814,,Furniture
2016-05-29,4974.146000000001,,Furniture
2016-06-05,4397.08,,Furniture
2016-06-12,4048.5840000000003,,Furniture
2016-06-19,5039.159,,Furniture
2016-06-26,1172.722,,Furniture
2016-07-03,2652.0919999999996,,Furniture
2016-07-10,3383.409,,Furniture
2016-07-17,938.688,,Furniture
2016-07-24,2886.402,,Furniture
2016-07-31,5136.406,,Furniture
2016-08-07,265.576,,Furniture
2016-08-14,1672.1885,,Furniture
2016-08-21,4989.023999999999,,Furniture
2016-08-28,4316.8598,,Furniture
2016-09-04,3680.764,,Furniture
2016-09-11,7875.1886,,Furniture
2016-09-18,8188.896,,Furniture
2016-09-25,5649.551,,Furniture
2016-10-02,3675.3513,,Furniture
2016-10-09,2357.56,,Furniture
2016-10-16,1488.15,,Furniture
2016-10-23,3256.664,,Furniture
2016-10-30,1937.192,,Furniture
2016-11-06,9356.0708,,Furniture
2016-11-13,11346.386,,Furniture
2016-11-20,2779.9759999999997,,Furniture
2016-11-27,9404.303,,Furniture
2016-12-04,6087.365,,Furniture
2016-12-11,10282.552,,Furniture
2016-12-18,8186.791,,Furniture
2016-12-25,10181.337,,Furniture
2017-01-01,4078.7780000000002,,Furniture
2017-01-08,1806.4099999999999,1683.7284311485791,Furniture
2017-01-15,269.58,1075.9152688773197,Furniture
2017-01-22,1942.327,914.2128618162076,Furniture
2017-01-29,326.34999999999997,5334.068147112492,Furniture
2017-02-05,962.9150000000001,2276.6038985107557,Furniture
