Date,Actual Sales,Predicted Sales,Category
2014-01-12,1179.14,,Technology
2014-01-19,920.89,,Technology
2014-01-26,1043.26,,Technology
2014-02-02,649.86,,Technology
2014-02-09,421.92,,Technology
2014-02-16,474.41999999999996,,Technology
2014-02-23,62.31,,Technology
2014-03-02,157.14,,Technology
2014-03-09,489.96000000000004,,Technology
2014-03-16,1750.56,,Technology
2014-03-23,29338.646,,Technology
2014-03-30,694.8839999999999,,Technology
2014-04-06,1931.828,,Technology
2014-04-13,4617.56,,Technology
2014-04-20,515.944,,Technology
2014-04-27,302.376,,Technology
2014-05-04,2387.694,,Technology
2014-05-11,3717.1079999999997,,Technology
2014-05-18,986.166,,Technology
2014-05-25,874.8720000000001,,Technology
2014-06-01,4423.6759999999995,,Technology
2014-06-08,239.97,,Technology
2014-06-15,1890.5520000000001,,Technology
2014-06-22,4849.217,,Technology
2014-06-29,574.2959999999999,,Technology
2014-07-06,1689.862,,Technology
2014-07-13,1218.564,,Technology
2014-07-20,480.644,,Technology
2014-07-27,4615.064,,Technology
2014-08-03,21.2,,Technology
2014-08-10,5151.222,,Technology
2014-08-17,1577.834,,Technology
2014-08-24,143.64,,Technology
2014-08-31,2315.764,,Technology
2014-09-07,2790.8360000000002,,Technology
2014-09-14,14143.404,,Technology
2014-09-21,12676.052,,Technology
2014-09-28,240.96,,Technology
2014-10-05,1484.724,,Technology
2014-10-12,1971.444,,Technology
2014-10-19,4359.724,,Technology
2014-10-26,744.704,,Technology
2014-11-02,8802.534,,Technology
2014-11-09,7811.472000000001,,Technology
2014-11-16,4407.048,,Technology
2014-11-23,7480.1320000000005,,Technology
2014-11-30,5763.964,,Technology
2014-12-07,2711.936,,Technology
2014-12-14,8535.512,,Technology
2014-12-21,3434.9,,Technology
2014-12-28,1552.882,,Technology
2015-01-04,6396.928,,Technology
2015-01-11,0.0,,Technology
2015-01-18,379.066,,Technology
2015-01-25,0.0,,Technology
2015-02-01,2507.322,,Technology
2015-02-08,276.48,,Technology
2015-02-15,2497.6,,Technology
2015-02-22,29.99,,Technology
